president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,Voters,4/30/2020,5/28/2019,4/30/2020,YouGov,B-,796,rv,0.11578367,0,44,52,43.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9ea0fuoqla/tabs_Trump_Tweets_20190528.pdf,58178,94719,6/3/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,5/29/2019,4/30/2020,YouGov,B-,771,rv,0.11274506,0,44,54,43.27513,53.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3p0t2y2i90/tabs_Trump_Tweets_20190529.pdf,58179,94721,6/3/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,5/30/2019,4/29/2020,YouGov,B-,734,rv,0.10739419,0,44,54,43.27513,53.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/45yalqp5nb/tabs_Trump_Tweets_20190530.pdf,58180,94723,6/3/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,5/31/2019,4/29/2020,YouGov,B-,740,rv,0.10777215,0,46,50,45.27513,49.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wcrj6slk3r/tabs_Trump_Tweets_20190531.pdf,58181,94725,6/3/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/1/2019,4/29/2020,YouGov,B-,728,rv,0.10553501,0,44,53,43.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/453sf40iot/tabs_Trump_Tweets_20190601.pdf,58182,94727,6/3/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/2/2019,4/28/2020,YouGov,B-,717,rv,0.10345932,0,46,50,45.27513,49.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/my2qwqegyn/tabs_Trump_Tweets_20190602.pdf,58421,97733,6/11/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/2/2019,4/28/2020,YouGov,B-,1195,rv,0.1724322,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/c4ndc02jx7/econTabReport.pdf,58190,94758,6/5/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/4/2019,4/28/2020,YouGov,B-,750,rv,0.10882232,0,45,52,44.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/afdwjs5olx/tabs_Trump_Tweets_20190603.pdf,58422,97735,6/11/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/4/2019,4/28/2020,YouGov,B-,745,rv,0.10905379,0,43,55,42.27513,54.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5haz4glrs2/tabs_Trump_Tweets_20190604.pdf,58388,97587,6/6/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/5/2019,4/28/2020,YouGov,B-,747,rv,0.11000863,0,44,53,43.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/igml3oe8ss/tabs_Trump_Tweets_20190605.pdf,58403,97675,6/10/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/6/2019,4/27/2020,YouGov,B-,733,rv,0.10802411,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/y2usm9s00j/tabs_Trump_Tweets_20190606.pdf,58404,97677,6/10/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/7/2019,4/27/2020,YouGov,B-,737,rv,0.10813885,0,47,51,46.27513,50.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vy0c8lr1g7/tabs_Trump_Tweets_20190607.pdf,58405,97679,6/10/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/8/2019,4/26/2020,YouGov,B-,717,rv,0.10474391,0,44,53,43.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3m7p6quutb/tabs_Trump_Tweets_20190608.pdf,58406,97681,6/10/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/9/2019,4/26/2020,YouGov,B-,734,rv,0.10669202,0,46,52,45.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6ej1qsnxo7/tabs_Trump_Tweets_20190609.pdf,58428,97854,6/12/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/9/2019,4/26/2020,YouGov,B-,1107,rv,0.16091017,0,45,52,44.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b0wzlf9avh/econTabReport.pdf,58424,97747,6/12/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/10/2019,4/25/2020,YouGov,B-,754,rv,0.11010889,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7qtmbsatq7/tabs_Trump_Tweets_20190610.pdf,58429,97856,6/12/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/11/2019,4/25/2020,YouGov,B-,741,rv,0.10873482,0,47,49,46.27513,48.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/etaz6xp4ct/tabs_Trump_Tweets_20190611.pdf,58447,97883,6/13/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/12/2019,4/24/2020,YouGov,B-,725,rv,0.10690584,0,45,52,44.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ce8y8m6tg2/tabs_Trump_Tweets_20190612.pdf,58454,97910,6/14/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/13/2019,4/24/2020,YouGov,B-,756,rv,0.11142076,0,46,51,45.27513,50.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0z3ucryhc9/tabs_Trump_Tweets_20190613.pdf,58476,98039,6/17/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/14/2019,4/24/2020,YouGov,B-,720,rv,0.10409325,0,44,54,43.27513,53.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o072amqt9m/tabs_Trump_Tweets_20190614.pdf,58477,98041,6/17/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/15/2019,4/23/2020,YouGov,B-,727,rv,0.10510527,0,44,52,43.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k2xqrwdcfx/tabs_Trump_Tweets_20190615.pdf,58478,98043,6/17/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/16/2019,4/22/2020,YouGov,B-,729,rv,0.1047393,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4e2e7z8ts0/tabs_Trump_Tweets_20190616.pdf,58479,98045,6/17/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/16/2019,4/21/2020,YouGov,B-,1202,rv,0.17269772,0,45,51,44.27513,50.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/f0cbavpadc/econTabReport.pdf,58498,98085,6/19/2019,4/30/2020 15:46
